,PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
299,299,3,"Tenglin, Mr. Gunnar Isidor",male,25.0,0,0,350033,7.7958,,S
300,300,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33.0,0,0,110152,86.5,B77,S
301,301,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,D7,S
302,302,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361,13.0,,S
303,303,3,"Zimmerman, Mr. Leo",male,29.0,0,0,315082,7.875,,S
304,304,1,"Goldenberg, Mr. Samuel L",male,49.0,1,0,17453,89.1042,C92,C
305,305,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,0,0,PC 17474,26.3875,E25,S
306,306,1,"Williams, Mr. Richard Norris II",male,21.0,0,1,PC 17597,61.3792,,C
307,307,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1,0,PC 17757,227.525,C62 C64,C
308,308,2,"Quick, Miss. Phyllis May",female,2.0,1,1,26360,26.0,,S
309,309,3,"Ibrahim Shawah, Mr. Yousseff",male,30.0,0,0,2685,7.2292,,C
310,310,1,"Newell, Miss. Marjorie",female,23.0,1,0,35273,113.275,D36,C
311,311,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S
312,312,3,"Paulner, Mr. Uscher",male,,0,0,3411,8.7125,,C
313,313,2,"Hickman, Mr. Lewis",male,32.0,2,0,S.O.C. 14879,73.5,,S
314,314,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S
315,315,3,"Coleff, Mr. Peju",male,36.0,0,0,349210,7.4958,,S
316,316,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,,S
317,317,3,"Lundstrom, Mr. Thure Edvin",male,32.0,0,0,350403,7.5792,,S
318,318,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,S
319,319,1,"Moore, Mr. Clarence Bloomfield",male,47.0,0,0,113796,42.4,,S
320,320,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",female,22.0,1,1,3101298,12.2875,,S
321,321,2,"Hickman, Mr. Leonard Mark",male,24.0,2,0,S.O.C. 14879,73.5,,S
322,322,1,"Smart, Mr. John Montgomery",male,56.0,0,0,113792,26.55,,S
323,323,3,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",female,30.0,1,0,349910,15.55,,S
324,324,2,"Abelson, Mr. Samuel",male,30.0,1,0,P/PP 3381,24.0,,C
325,325,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S
326,326,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,1,0,19928,90.0,C78,Q
327,327,3,"Wirz, Mr. Albert",male,27.0,0,0,315154,8.6625,,S
328,328,2,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44.0,1,0,244252,26.0,,S
329,329,3,"Williams, Mr. Leslie",male,28.5,0,0,54636,16.1,,S
330,330,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781,151.55,C22 C26,S
331,331,3,"Nilsson, Miss. Berta Olivia",female,18.0,0,0,347066,7.775,,S
332,332,3,"Cacic, Miss. Marija",female,30.0,0,0,315084,8.6625,,S
333,333,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S
334,334,2,"Norman, Mr. Robert Douglas",male,28.0,0,0,218629,13.5,,S
335,335,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,0,1,24160,211.3375,B3,S
336,336,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S
337,337,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,376564,16.1,,S
338,338,2,"Giles, Mr. Ralph",male,24.0,0,0,248726,13.5,,S
339,339,3,"Nankoff, Mr. Minko",male,,0,0,349218,7.8958,,S
340,340,3,"Baccos, Mr. Raffull",male,20.0,0,0,2679,7.225,,C
341,341,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,,S
342,342,3,"Angheloff, Mr. Minko",male,26.0,0,0,349202,7.8958,,S
343,343,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,C83,S
344,344,3,"Johansson, Mr. Karl Johan",male,31.0,0,0,347063,7.775,,S
345,345,2,"Kirkland, Rev. Charles Leonard",male,57.0,0,0,219533,12.35,,Q
346,346,1,"Davidson, Mr. Thornton",male,31.0,1,0,F.C. 12750,52.0,B71,S
347,347,2,"Hart, Miss. Eva Miriam",female,7.0,0,2,F.C.C. 13529,26.25,,S
348,348,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,,S
349,349,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S
350,350,3,"Fox, Mr. Patrick",male,,0,0,368573,7.75,,Q
351,351,2,"Collander, Mr. Erik Gustaf",male,28.0,0,0,248740,13.0,,S
352,352,3,"Sage, Mr. Douglas Bullen",male,,8,2,CA. 2343,69.55,,S
353,353,3,"de Pelsmaeker, Mr. Alfons",male,16.0,0,0,345778,9.5,,S
354,354,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C
355,355,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0,1,1,F.C.C. 13529,26.25,,S
356,356,3,"Andersson, Miss. Ida Augusta Margareta",female,38.0,4,2,347091,7.775,,S
357,357,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S
358,358,3,"Foley, Mr. William",male,,0,0,365235,7.75,,Q
359,359,3,"Conlon, Mr. Thomas Henry",male,31.0,0,0,21332,7.7333,,Q
360,360,3,"Riihivouri, Miss. Susanna Juhantytar Sanni""""",female,22.0,0,0,3101295,39.6875,,S
361,361,3,"Goodwin, Mr. Charles Edward",male,14.0,5,2,CA 2144,46.9,,S
362,362,2,"Meyer, Mr. August",male,39.0,0,0,248723,13.0,,S
363,363,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S
364,364,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S
365,365,3,"Pearce, Mr. Ernest",male,,0,0,343271,7.0,,S
366,366,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,S
367,367,3,"Dantcheff, Mr. Ristiu",male,25.0,0,0,349203,7.8958,,S
368,368,2,"Reynaldo, Ms. Encarnacion",female,28.0,0,0,230434,13.0,,S
369,369,1,"White, Mrs. John Stuart (Ella Holmes)",female,55.0,0,0,PC 17760,135.6333,C32,C
370,370,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,C52,S
371,371,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S
372,372,1,"Harper, Mr. Henry Sleeper",male,48.0,1,0,PC 17572,76.7292,D33,C
373,373,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26.0,1,1,315153,22.025,,S
374,374,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514,26.55,C87,S
375,375,3,"Canavan, Miss. Mary",female,21.0,0,0,364846,7.75,,Q
376,376,3,"Moor, Mrs. (Beila)",female,27.0,0,1,392096,12.475,E121,S
377,377,2,"Weisz, Mr. Leopold",male,27.0,1,0,228414,26.0,,S
378,378,3,"van Billiard, Master. Walter John",male,11.5,1,1,A/5. 851,14.5,,S
379,379,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,B4,C
380,380,1,"Wilson, Miss. Helen Alice",female,31.0,0,0,16966,134.5,E39 E41,C
381,381,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,D37,C
382,382,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,
383,383,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S
384,384,3,"Slabenoff, Mr. Petco",male,,0,0,349214,7.8958,,S
385,385,2,"Hold, Mr. Stephen",male,44.0,1,0,26707,26.0,,S
386,386,3,"Turkula, Mrs. (Hedwig)",female,63.0,0,0,4134,9.5875,,S
387,387,3,"Rintamaki, Mr. Matti",male,35.0,0,0,STON/O 2. 3101273,7.125,,S
388,388,3,"Lang, Mr. Fang",male,26.0,0,0,1601,56.4958,,S
389,389,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,0,1,112378,59.4,,C
390,390,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,C
391,391,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,,S
392,392,3,"Elias, Mr. Joseph Jr",male,17.0,1,1,2690,7.2292,,C
393,393,3,"Hagardon, Miss. Kate",female,17.0,0,0,AQ/3. 30631,7.7333,,Q
394,394,1,"Millet, Mr. Francis Davis",male,65.0,0,0,13509,26.55,E38,S
395,395,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774,9.5,,S
396,396,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,,Q
397,397,3,"Sadowitz, Mr. Harry",male,,0,0,LP 1588,7.575,,S
398,398,2,"Leitch, Miss. Jessie Wills",female,,0,0,248727,33.0,,S
399,399,2,"Gaskell, Mr. Alfred",male,16.0,0,0,239865,26.0,,S
400,400,3,"Linehan, Mr. Michael",male,,0,0,330971,7.8792,,Q
401,401,3,"Olsson, Miss. Elina",female,31.0,0,0,350407,7.8542,,S
402,402,2,"Harper, Miss. Annie Jessie ""Nina""",female,6.0,0,1,248727,33.0,,S
403,403,1,"Gracie, Col. Archibald IV",male,53.0,0,0,113780,28.5,C51,C
404,404,1,"Dick, Mr. Albert Adrian",male,31.0,1,0,17474,57.0,B20,S
405,405,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,,S
406,406,3,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0,330980,7.8792,,Q
407,407,3,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,65306,8.1125,,S
408,408,3,"Elias, Mr. Joseph",male,39.0,0,2,2675,7.2292,,C
409,409,3,"O'Connor, Mr. Maurice",male,,0,0,371060,7.75,,Q
410,410,3,"Dennis, Mr. William",male,36.0,0,0,A/5 21175,7.25,,S
411,411,3,"de Messemaeker, Mr. Guillaume Joseph",male,36.5,1,0,345572,17.4,,S
412,412,3,"Tikkanen, Mr. Juho",male,32.0,0,0,STON/O 2. 3101293,7.925,,S
413,413,3,"Hedman, Mr. Oskar Arvid",male,27.0,0,0,347089,6.975,,S
414,414,3,"Rouse, Mr. Richard Henry",male,50.0,0,0,A/5 3594,8.05,,S
415,415,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1,0,19943,90.0,C93,S
416,416,3,"Hagland, Mr. Ingvald Olai Olsen",male,,1,0,65303,19.9667,,S
417,417,1,"Rosenbaum, Miss. Edith Louise",female,33.0,0,0,PC 17613,27.7208,A11,C
418,418,3,"Adams, Mr. John",male,26.0,0,0,341826,8.05,,S
419,419,2,"Ponesell, Mr. Martin",male,34.0,0,0,250647,13.0,,S
420,420,1,"Daly, Mr. Peter Denis ",male,51.0,0,0,113055,26.55,E17,S
421,421,3,"Cacic, Mr. Luka",male,38.0,0,0,315089,8.6625,,S
422,422,3,"Saade, Mr. Jean Nassr",male,,0,0,2676,7.225,,C
423,423,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28.0,1,0,P/PP 3381,24.0,,C
424,424,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,,S
425,425,3,"Abrahamsson, Mr. Abraham August Johannes",male,20.0,0,0,SOTON/O2 3101284,7.925,,S
426,426,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C
427,427,3,"Kassem, Mr. Fared",male,,0,0,2700,7.2292,,C
428,428,3,"Ryan, Mr. Patrick",male,,0,0,371110,24.15,,Q
429,429,3,"Carlsson, Mr. Carl Robert",male,24.0,0,0,350409,7.8542,,S
430,430,3,"Haas, Miss. Aloisia",female,24.0,0,0,349236,8.85,,S
431,431,1,"Molson, Mr. Harry Markland",male,55.0,0,0,113787,30.5,C30,S
432,432,3,"Harmer, Mr. Abraham (David Lishin)",male,25.0,0,0,374887,7.25,,S
433,433,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,,S
434,434,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,D36,C
435,435,1,"Warren, Mr. Frank Manley",male,64.0,1,0,110813,75.25,D37,C
436,436,3,"Sage, Miss. Dorothy Edith ""Dolly""",female,,8,2,CA. 2343,69.55,,S
437,437,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S
438,438,3,"Gallagher, Mr. Martin",male,25.0,0,0,36864,7.7417,,Q
439,439,1,"Dodge, Master. Washington",male,4.0,0,2,33638,81.8583,A34,S
440,440,3,"Danbom, Master. Gilbert Sigvard Emanuel",male,0.33,0,2,347080,14.4,,S
441,441,3,"Ilmakangas, Miss. Pieta Sofia",female,25.0,1,0,STON/O2. 3101271,7.925,,S
442,442,2,"Wilhelms, Mr. Charles",male,31.0,0,0,244270,13.0,,S
443,443,1,"Stengel, Mr. Charles Emil Henry",male,54.0,1,0,11778,55.4417,C116,C
444,444,3,"Zakarian, Mr. Mapriededer",male,26.5,0,0,2656,7.225,,C
445,445,3,"Rice, Master. Eric",male,7.0,4,1,382652,29.125,,Q
446,446,2,"Corbett, Mrs. Walter H (Irene Colvin)",female,30.0,0,0,237249,13.0,,S
447,447,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,,S
448,448,3,"Allum, Mr. Owen George",male,18.0,0,0,2223,8.3,,S
449,449,1,"Bowen, Miss. Grace Scott",female,45.0,0,0,PC 17608,262.375,,C
450,450,3,"Elias, Mr. Tannous",male,15.0,1,1,2695,7.2292,,C
451,451,3,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,,Q
452,452,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528,21.0,,S
453,453,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644,19.5,,S
454,454,3,"Lefebre, Miss. Mathilde",female,,3,1,4133,25.4667,,S
455,455,1,"Thayer, Mr. John Borland Jr",male,17.0,0,2,17421,110.8833,C70,C
456,456,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S
457,457,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23.0,0,1,11767,83.1583,C54,C
458,458,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C
459,459,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988,30.5,C106,S
460,460,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,,S
461,461,2,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",female,48.0,0,2,C.A. 33112,36.75,,S
462,462,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",female,,1,2,W./C. 6607,23.45,,S
463,463,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,STON/O 2. 3101275,7.125,,S
464,464,2,"Angle, Mr. William A",male,34.0,1,0,226875,26.0,,S
465,465,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C
466,466,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24.0,2,1,243847,27.0,,S
467,467,2,"Stanton, Mr. Samuel Ward",male,41.0,0,0,237734,15.0458,,C
468,468,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q
469,469,2,"Schmidt, Mr. August",male,26.0,0,0,248659,13.0,,S
470,470,1,"Hays, Mr. Charles Melville",male,55.0,1,1,12749,93.5,B69,S
471,471,3,"Rosblom, Miss. Salli Helena",female,2.0,1,1,370129,20.2125,,S
472,472,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,1,1,12749,93.5,B69,S
473,473,3,"Oreskovic, Mr. Luka",male,20.0,0,0,315094,8.6625,,S
474,474,3,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,,Q
475,475,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,,S
476,476,1,"Hassab, Mr. Hammad",male,27.0,0,0,PC 17572,76.7292,D49,C
477,477,1,"Compton, Miss. Sara Rebecca",female,39.0,1,1,PC 17756,83.1583,E49,C
478,478,1,"Spedden, Master. Robert Douglas",male,6.0,0,2,16966,134.5,E34,C
479,479,3,"Laitinen, Miss. Kristina Sofia",female,37.0,0,0,4135,9.5875,,S
480,480,3,"Hart, Mr. Henry",male,,0,0,394140,6.8583,,Q
481,481,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S
482,482,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C
483,483,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S
484,484,3,"McCarthy, Miss. Catherine Katie""""",female,,0,0,383123,7.75,,Q
485,485,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,,C
486,486,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,,C
487,487,3,"Van Impe, Mr. Jean Baptiste",male,36.0,1,1,345773,24.15,,S
488,488,1,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596,29.7,C118,C
489,489,1,"Chambers, Mr. Norman Campbell",male,27.0,1,0,113806,53.1,E8,S
490,490,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219,7.8958,,S
491,491,2,"Sinkkonen, Miss. Anna",female,30.0,0,0,250648,13.0,,S
492,492,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,,S
493,493,3,"Stanley, Mr. Edward Roland",male,21.0,0,0,A/4 45380,8.05,,S
494,494,2,"Wheeler, Mr. Edwin Frederick""""",male,,0,0,SC/PARIS 2159,12.875,,S
495,495,3,"Flynn, Mr. James",male,,0,0,364851,7.75,,Q
496,496,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1,0,17474,57.0,B20,S
497,497,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,111427,26.55,,S
498,498,1,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781,151.55,C22 C26,S
499,499,1,"Longley, Miss. Gretchen Fiske",female,21.0,0,0,13502,77.9583,D9,S
500,500,2,"Richards, Master. George Sibley",male,0.83,1,1,29106,18.75,,S
501,501,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,,C
502,502,2,"Laroche, Mr. Joseph Philippe Lemercier",male,25.0,1,2,SC/Paris 2123,41.5792,,C
503,503,1,"Ostby, Miss. Helene Ragnhild",female,22.0,0,1,113509,61.9792,B36,C
504,504,2,"Knight, Mr. Robert J",male,,0,0,239855,0.0,,S
505,505,1,"Kenyon, Mr. Frederick R",male,41.0,1,0,17464,51.8625,D21,S
506,506,3,"Davies, Mr. Joseph",male,17.0,2,0,A/4 48873,8.05,,S
507,507,3,"Skoog, Master. Karl Thorsten",male,10.0,3,2,347088,27.9,,S
508,508,1,"Case, Mr. Howard Brown",male,49.0,0,0,19924,26.0,,S
509,509,1,"Rheims, Mr. George Alexander Lucien",male,,0,0,PC 17607,39.6,,S
510,510,2,"Silven, Miss. Lyyli Karoliina",female,18.0,0,2,250652,13.0,,S
511,511,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S
512,512,3,"Badman, Miss. Emily Louisa",female,18.0,0,0,A/4 31416,8.05,,S
513,513,3,"Stoytcheff, Mr. Ilia",male,19.0,0,0,349205,7.8958,,S
514,514,1,"Dulles, Mr. William Crothers",male,39.0,0,0,PC 17580,29.7,A18,C
515,515,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,,S
516,516,2,"Richards, Master. William Rowe",male,3.0,1,1,29106,18.75,,S
517,517,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,50.0,1,1,113503,211.5,C80,C
518,518,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,,1,0,19996,52.0,C126,S
519,519,2,"Mallet, Mr. Albert",male,31.0,1,1,S.C./PARIS 2079,37.0042,,C
520,520,3,"Strandberg, Miss. Ida Sofia",female,22.0,0,0,7553,9.8375,,S
521,521,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0,0,0,SC/AH Basle 541,13.7917,D,C
522,522,3,"Bostandyeff, Mr. Guentcho",male,26.0,0,0,349224,7.8958,,S
523,523,3,"Johnston, Mr. Andrew G",male,,1,2,W./C. 6607,23.45,,S
524,524,2,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22.0,1,2,SC/Paris 2123,41.5792,,C
525,525,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C
526,526,2,"Herman, Miss. Alice",female,24.0,1,2,220845,65.0,,S
527,527,2,"Harris, Mr. George",male,62.0,0,0,S.W./PP 752,10.5,,S
528,528,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36.0,0,3,230136,39.0,F4,S
529,529,1,"Ringhini, Mr. Sante",male,22.0,0,0,PC 17760,135.6333,,C
530,530,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,,C
531,531,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S
532,532,3,"Skoog, Mr. Wilhelm",male,40.0,1,4,347088,27.9,,S
533,533,3,"Wiklund, Mr. Karl Johan",male,21.0,1,0,3101266,6.4958,,S
534,534,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S
535,535,1,"Maioni, Miss. Roberta",female,16.0,0,0,110152,86.5,B79,S
536,536,3,"Dean, Master. Bertram Vere",male,1.0,1,2,C.A. 2315,20.575,,S
537,537,1,"Lesurer, Mr. Gustave J",male,35.0,0,0,PC 17755,512.3292,B101,C
538,538,2,"Milling, Mr. Jacob Christian",male,48.0,0,0,234360,13.0,,S
539,539,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,1,4,19950,263.0,C23 C25 C27,S
540,540,3,"Dooley, Mr. Patrick",male,32.0,0,0,370376,7.75,,Q
541,541,3,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S
542,542,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765,55.4417,E50,C
543,543,3,"Assaf, Mr. Gerios",male,21.0,0,0,2692,7.225,,C
544,544,3,"Bradley, Miss. Bridget Delia",female,22.0,0,0,334914,7.725,,Q
545,545,3,"Franklin, Mr. Charles (Charles Fardon)",male,,0,0,SOTON/O.Q. 3101314,7.25,,S
546,546,3,"Petroff, Mr. Nedelio",male,19.0,0,0,349212,7.8958,,S
547,547,3,"Mahon, Mr. John",male,,0,0,AQ/4 3130,7.75,,Q
548,548,2,"Bowenur, Mr. Solomon",male,42.0,0,0,211535,13.0,,S
549,549,2,"Baimbrigge, Mr. Charles Robert",male,23.0,0,0,C.A. 31030,10.5,,S
550,550,1,"Mock, Mr. Philipp Edmund",male,30.0,1,0,13236,57.75,C78,C
551,551,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,,S
552,552,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31.0,1,1,C.A. 31921,26.25,,S
553,553,2,"Herman, Mr. Samuel",male,49.0,1,2,220845,65.0,,S
554,554,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,C.A. 18723,10.5,,S
555,555,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,,S
556,556,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C
557,557,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,0,2,PC 17756,83.1583,E45,C
558,558,1,"Frauenthal, Mr. Isaac Gerald",male,43.0,1,0,17765,27.7208,D40,C
559,559,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069,7.775,,S
560,560,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529,26.25,,S
561,561,2,"Giles, Mr. Edgar",male,21.0,1,0,28133,11.5,,S
562,562,2,"Sweet, Mr. George Frederick",male,14.0,0,0,220845,65.0,,S
563,563,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S
564,564,3,"Brobeck, Mr. Karl Rudolf",male,22.0,0,0,350045,7.7958,,S
565,565,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0,1,2,C.A. 34651,27.75,,S
566,566,3,"Calic, Mr. Petar",male,17.0,0,0,315086,8.6625,,S
567,567,3,"Lobb, Mr. William Arthur",male,30.0,1,0,A/5. 3336,16.1,,S
568,568,3,"Zabour, Miss. Thamine",female,,1,0,2665,14.4542,,C
569,569,3,"Spector, Mr. Woolf",male,,0,0,A.5. 3236,8.05,,S
570,570,3,"Heininen, Miss. Wendla Maria",female,23.0,0,0,STON/O2. 3101290,7.925,,S
571,571,3,"Coutts, Master. Eden Leslie ""Neville""",male,9.0,1,1,C.A. 37671,15.9,,S
572,572,1,"Jones, Mr. Charles Cresson",male,46.0,0,0,694,26.0,,S
573,573,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,D15,C
574,574,3,"Baclini, Miss. Marie Catherine",female,5.0,2,1,2666,19.2583,,C
575,575,1,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,B94,S
576,576,3,"Naughton, Miss. Hannah",female,,0,0,365237,7.75,,Q
577,577,3,"Niklasson, Mr. Samuel",male,28.0,0,0,363611,8.05,,S
578,578,3,"Cribb, Miss. Laura Alice",female,17.0,0,1,371362,16.1,,S
579,579,3,"Dika, Mr. Mirko",male,17.0,0,0,349232,7.8958,,S
580,580,3,"Skoog, Miss. Margit Elizabeth",female,2.0,3,2,347088,27.9,,S
581,581,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S
582,582,2,"Brown, Mr. Thomas William Solomon",male,60.0,1,1,29750,39.0,,S
583,583,3,"Peacock, Miss. Treasteall",female,3.0,1,1,SOTON/O.Q. 3101315,13.775,,S
584,584,3,"Badt, Mr. Mohamed",male,40.0,0,0,2623,7.225,,C
585,585,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",female,60.0,1,0,24065,26.0,,S
586,586,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,SC/Paris 2163,12.875,D,C
587,587,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,,C
588,588,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C
589,589,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S
590,590,3,"Goodwin, Mr. Charles Frederick",male,40.0,1,6,CA 2144,46.9,,S
591,591,3,"Duane, Mr. Frank",male,65.0,0,0,336439,7.75,,Q
592,592,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,,S
